,Years,Months,Crime Rate
637,1966,8,3.8
638,1966,7,3.8
639,1966,6,3.8
640,1966,5,3.9
641,1966,4,3.8
642,1966,3,3.8
643,1966,2,3.8
644,1966,1,4.0
645,1965,12,4.0
646,1965,11,4.1
647,1965,10,4.2
648,1965,9,4.3
649,1965,8,4.4
650,1965,7,4.4
651,1965,6,4.6
652,1965,5,4.6
653,1965,4,4.8
654,1965,3,4.7
655,1965,2,5.1
656,1965,1,4.9
657,1964,12,5.0
658,1964,11,4.8
659,1964,10,5.1
660,1964,9,5.1
661,1964,8,5.0
662,1964,7,4.9
663,1964,6,5.2
664,1964,5,5.1
665,1964,4,5.3
666,1964,3,5.4
667,1964,2,5.4
668,1964,1,5.6
669,1963,12,5.5
670,1963,11,5.7
671,1963,10,5.5
672,1963,9,5.5
673,1963,8,5.4
674,1963,7,5.6
675,1963,6,5.6
676,1963,5,5.9
677,1963,4,5.7
678,1963,3,5.7
679,1963,2,5.9
680,1963,1,5.7
681,1962,12,5.5
682,1962,11,5.7
683,1962,10,5.4
684,1962,9,5.6
685,1962,8,5.7
686,1962,7,5.4
687,1962,6,5.5
688,1962,5,5.5
689,1962,4,5.6
690,1962,3,5.6
691,1962,2,5.5
692,1962,1,5.8
693,1961,12,6.0
694,1961,11,6.1
695,1961,10,6.5
696,1961,9,6.7
697,1961,8,6.6
698,1961,7,7.0
699,1961,6,6.9
700,1961,5,7.1
701,1961,4,7.0
702,1961,3,6.9
703,1961,2,6.9
704,1961,1,6.6
705,1960,12,6.6
706,1960,11,6.1
707,1960,10,6.1
708,1960,9,5.5
709,1960,8,5.6
710,1960,7,5.5
711,1960,6,5.4
712,1960,5,5.1
713,1960,4,5.2
714,1960,3,5.4
715,1960,2,4.8
716,1960,1,5.2
